[2026-04-15 15:11:58] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1493898473261764668/messages with {"embeds":[{"thumbnail":{"url":"https://cdn.discordapp.com/avatars/1476250480408531137/ce11d724f9db55950eac6bde2e3b1e57.png?size=1024"},"fields":[{"inline":false,"name":"\ud83d\udc64 User","value":"<@1476250480408531137> (`1476250480408531137`)"},{"inline":true,"name":"\ud83d\udd0a Channel","value":"General"},{"inline":true,"name":"\ud83d\udd50 Joined at","value":"2026-04-15 15:11:58"}],"flags":0,"color":3066993,"timestamp":"2026-04-15T12:11:58.494599+00:00","type":"rich","title":"\ud83d\udfe2 salmanDN joined a voice channel"}],"content":null,"components":[],"nonce":"3946270778854017014","enforce_nonce":true,"tts":false} has returned 200
[2026-04-15 15:11:58] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (62df3a8bf3cb0dd93018dd80d06039f6).
[2026-04-15 15:11:58] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1493898473261764668/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': '🟢 salmanDN joined a voice channel', 'color': 3066993, 'timestamp': '2026-04-15T12:11:58.494599+00:00', 'fields': [{'name': '👤 User', 'value': '<@1476250480408531137> (`1476250480408531137`)', 'inline': False}, {'name': '🔊 Channel', 'value': 'General', 'inline': True}, {'name': '🕐 Joined at', 'value': '2026-04-15 15:11:58', 'inline': True}], 'thumbnail': {'url': 'https://cdn.discordapp.com/avatars/1476250480408531137/ce11d724f9db55950eac6bde2e3b1e57.png?size=1024', 'proxy_url': 'https://images-ext-1.discordapp.net/external/JadwpP2dGXPKxU4HYXvv5pUbL9kFeibsN3JQrKUYURY/%3Fsize%3D1024/https/cdn.discordapp.com/avatars/1476250480408531137/ce11d724f9db55950eac6bde2e3b1e57.png', 'width': 256, 'height': 256, 'content_type': 'image/png', 'placeholder': 'VAgKFwQHyGeEiYWGeYeYiIh5eCB4B4QG', 'placeholder_version': 1, 'flags': 0}}], 'timestamp': '2026-04-15T12:11:55.811000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1493946978264940654', 'channel_id': '1493898473261764668', 'author': {'id': '1485595275258101900', 'username': 'herbsbot', 'avatar': None, 'discriminator': '9471', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '3946270778854017014'}
[2026-04-15 15:12:30] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2026-04-15 15:12:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-04-15 15:12:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_STATE_UPDATE', 's': 8, 'op': 0, 'd': {'member': {'user': {'username': 'mohammadsalmansunakal', 'public_flags': 0, 'primary_guild': None, 'id': '1476250480408531137', 'global_name': 'salmanDN', 'display_name_styles': None, 'display_name': 'salmanDN', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'ce11d724f9db55950eac6bde2e3b1e57'}, 'roles': ['1490641426005102632'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-24T07:59:12.515000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'user_id': '1476250480408531137', 'suppress': False, 'session_id': 'd57eac62651935e11bf68421409e5fed', 'self_video': False, 'self_stream': True, 'self_mute': True, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'guild_id': '1485910845333442633', 'discoverable': True, 'deaf': False, 'channel_id': '1485910846008983794'}}
[2026-04-15 15:12:35] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-15 15:12:35] [DEBUG   ] discord.client: Dispatching event voice_state_update
[2026-04-15 15:12:36] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 9, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-04-15T12:12:33.063000+00:00', 'pinned': False, 'nonce': '8764329796181541734', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1485911686551572525'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-24T08:02:33.094000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1493947134511288370', 'flags': 0, 'embeds': [{'type': 'rich', 'title': '🔴 salmanDN started streaming', 'timestamp': '2026-04-15T12:12:35.473453+00:00', 'thumbnail': {'width': 256, 'url': 'https://cdn.discordapp.com/avatars/1476250480408531137/ce11d724f9db55950eac6bde2e3b1e57.png?size=1024', 'proxy_url': 'https://images-ext-1.discordapp.net/external/JadwpP2dGXPKxU4HYXvv5pUbL9kFeibsN3JQrKUYURY/%3Fsize%3D1024/https/cdn.discordapp.com/avatars/1476250480408531137/ce11d724f9db55950eac6bde2e3b1e57.png', 'placeholder_version': 1, 'placeholder': 'VAgKFwQHyGeEiYWGeYeYiIh5eCB4B4QG', 'height': 256, 'flags': 0, 'content_type': 'image/png'}, 'id': '1493947134511288371', 'fields': [{'value': '<@1476250480408531137> (`1476250480408531137`)', 'name': '👤 User', 'inline': False}, {'value': 'General', 'name': '🔊 Voice Channel', 'inline': True}, {'value': '2026-04-15 15:12:35', 'name': '🕐 Started at', 'inline': True}, {'value': '0.6 min', 'name': '🔊 Already in voice for', 'inline': True}], 'color': 16711680}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1493898473261764668', 'author': {'username': 'herbsbot', 'public_flags': 0, 'primary_guild': None, 'id': '1485595275258101900', 'global_name': None, 'display_name_styles': None, 'discriminator': '9471', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1485910845333442633'}}
[2026-04-15 15:12:36] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-15 15:12:36] [DEBUG   ] discord.client: Dispatching event message
[2026-04-15 15:12:36] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1493898473261764668/messages with {"embeds":[{"thumbnail":{"url":"https://cdn.discordapp.com/avatars/1476250480408531137/ce11d724f9db55950eac6bde2e3b1e57.png?size=1024"},"fields":[{"inline":false,"name":"\ud83d\udc64 User","value":"<@1476250480408531137> (`1476250480408531137`)"},{"inline":true,"name":"\ud83d\udd0a Voice Channel","value":"General"},{"inline":true,"name":"\ud83d\udd50 Started at","value":"2026-04-15 15:12:35"},{"inline":true,"name":"\ud83d\udd0a Already in voice for","value":"0.6 min"}],"flags":0,"color":16711680,"timestamp":"2026-04-15T12:12:35.473453+00:00","type":"rich","title":"\ud83d\udd34 salmanDN started streaming"}],"content":null,"components":[],"nonce":"8764329796181541734","enforce_nonce":true,"tts":false} has returned 200
[2026-04-15 15:12:36] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1493898473261764668/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': '🔴 salmanDN started streaming', 'color': 16711680, 'timestamp': '2026-04-15T12:12:35.473453+00:00', 'fields': [{'name': '👤 User', 'value': '<@1476250480408531137> (`1476250480408531137`)', 'inline': False}, {'name': '🔊 Voice Channel', 'value': 'General', 'inline': True}, {'name': '🕐 Started at', 'value': '2026-04-15 15:12:35', 'inline': True}, {'name': '🔊 Already in voice for', 'value': '0.6 min', 'inline': True}], 'thumbnail': {'url': 'https://cdn.discordapp.com/avatars/1476250480408531137/ce11d724f9db55950eac6bde2e3b1e57.png?size=1024', 'proxy_url': 'https://images-ext-1.discordapp.net/external/JadwpP2dGXPKxU4HYXvv5pUbL9kFeibsN3JQrKUYURY/%3Fsize%3D1024/https/cdn.discordapp.com/avatars/1476250480408531137/ce11d724f9db55950eac6bde2e3b1e57.png', 'width': 256, 'height': 256, 'content_type': 'image/png', 'placeholder': 'VAgKFwQHyGeEiYWGeYeYiIh5eCB4B4QG', 'placeholder_version': 1, 'flags': 0}}], 'timestamp': '2026-04-15T12:12:33.063000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1493947134511288370', 'channel_id': '1493898473261764668', 'author': {'id': '1485595275258101900', 'username': 'herbsbot', 'avatar': None, 'discriminator': '9471', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '8764329796181541734'}
[2026-04-15 15:12:40] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'VOICE_STATE_UPDATE', 's': 10, 'op': 0, 'd': {'member': {'user': {'username': 'mohammadsalmansunakal', 'public_flags': 0, 'primary_guild': None, 'id': '1476250480408531137', 'global_name': 'salmanDN', 'display_name_styles': None, 'display_name': 'salmanDN', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': 'ce11d724f9db55950eac6bde2e3b1e57'}, 'roles': ['1490641426005102632'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-03-24T07:59:12.515000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'user_id': '1476250480408531137', 'suppress': False, 'session_id': 'd57eac62651935e11bf68421409e5fed', 'self_video': False, 'self_stream': True, 'self_mute': True, 'self_deaf': False, 'request_to_speak_timestamp': None, 'mute': False, 'guild_id': '1485910845333442633', 'discoverable': True, 'deaf': False, 'channel_id': None}}
